marker_value,marker_type,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
son,word,30.0,3.0,24.0,29.0,6.0,27.0,7.0,0.0,1.0,11.0,1.0,139.0,0.2158273381294964,0.02158273381294964,0.17266187050359713,0.20863309352517986,0.04316546762589928,0.19424460431654678,0.050359712230215826,0.0,0.007194244604316547,0.07913669064748201,0.007194244604316547,2.7701703959711304,0.8007588243823495
toute,word,3.0,1.0,4.0,3.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,20.0,0.15,0.05,0.2,0.15,0.05,0.25,0.0,0.0,0.05,0.1,0.0,2.765957320949175,0.7995409725828637
un,lemma,338.0,14.0,212.0,304.0,140.0,158.0,54.0,3.0,33.0,72.0,1.0,1329.0,0.254326561324304,0.010534236267870579,0.1595184349134688,0.2287434161023326,0.1053423626787058,0.11888638073739653,0.040632054176072234,0.002257336343115124,0.024830699774266364,0.05417607223476298,0.0007524454477050414,2.76378173384173,0.7989120868735106
c,word,44.0,3.0,30.0,13.0,16.0,26.0,4.0,0.0,6.0,11.0,0.0,153.0,0.2875816993464052,0.0196078431372549,0.19607843137254902,0.08496732026143791,0.10457516339869281,0.16993464052287582,0.026143790849673203,0.0,0.0392156862745098,0.0718954248366013,0.0,2.760281513233175,0.7979002962112244
il,lemma,55.0,6.0,36.0,66.0,24.0,32.0,11.0,0.0,2.0,13.0,1.0,246.0,0.22357723577235772,0.024390243902439025,0.14634146341463414,0.2682926829268293,0.0975609756097561,0.13008130081300814,0.044715447154471545,0.0,0.008130081300813009,0.052845528455284556,0.0040650406504065045,2.7525533860875466,0.7956663664801108
quatre,lemma,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,2.75,0.7949282723741916
quatre,word,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,2.75,0.7949282723741916
est,word,100.0,5.0,57.0,54.0,26.0,62.0,10.0,0.0,13.0,23.0,0.0,350.0,0.2857142857142857,0.014285714285714285,0.16285714285714287,0.15428571428571428,0.07428571428571429,0.17714285714285713,0.02857142857142857,0.0,0.037142857142857144,0.06571428571428571,0.0,2.7484327073586123,0.7944752231990195
suis,word,2.0,0.0,3.0,4.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,19.0,0.10526315789473684,0.0,0.15789473684210525,0.21052631578947367,0.0,0.21052631578947367,0.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,2.7345123817507715,0.7904513466949006
tout,word,19.0,0.0,17.0,17.0,13.0,17.0,1.0,0.0,3.0,10.0,0.0,97.0,0.1958762886597938,0.0,0.17525773195876287,0.17525773195876287,0.13402061855670103,0.17525773195876287,0.010309278350515464,0.0,0.030927835051546393,0.10309278350515463,0.0,2.7313446726400477,0.7895356734109836
l,word,132.0,7.0,63.0,76.0,26.0,37.0,15.0,1.0,14.0,24.0,1.0,396.0,0.3333333333333333,0.017676767676767676,0.1590909090909091,0.1919191919191919,0.06565656565656566,0.09343434343434344,0.03787878787878788,0.0025252525252525255,0.03535353535353535,0.06060606060606061,0.0025252525252525255,2.725747353735903,0.7879176853941112
normal,word,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,9.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
normal,lemma,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,9.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
m,word,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,13.0,0.23076923076923078,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,2.7192945256669794,0.7860523997691087
plus,word,58.0,4.0,30.0,75.0,16.0,42.0,16.0,0.0,7.0,12.0,0.0,260.0,0.2230769230769231,0.015384615384615385,0.11538461538461539,0.28846153846153844,0.06153846153846154,0.16153846153846155,0.06153846153846154,0.0,0.026923076923076925,0.046153846153846156,0.0,2.7174471069030286,0.7855183759849708
plus,lemma,58.0,4.0,30.0,75.0,16.0,42.0,16.0,0.0,7.0,12.0,0.0,260.0,0.2230769230769231,0.015384615384615385,0.11538461538461539,0.28846153846153844,0.06153846153846154,0.16153846153846155,0.06153846153846154,0.0,0.026923076923076925,0.046153846153846156,0.0,2.7174471069030286,0.7855183759849708
n,word,52.0,4.0,7.0,14.0,18.0,40.0,5.0,2.0,14.0,3.0,1.0,160.0,0.325,0.025,0.04375,0.0875,0.1125,0.25,0.03125,0.0125,0.0875,0.01875,0.00625,2.715799411053554,0.7850420850704177
avoir,lemma,379.0,16.0,149.0,211.0,100.0,173.0,30.0,9.0,34.0,59.0,0.0,1160.0,0.3267241379310345,0.013793103448275862,0.12844827586206897,0.18189655172413793,0.08620689655172414,0.14913793103448275,0.02586206896551724,0.007758620689655172,0.029310344827586206,0.05086206896551724,0.0,2.7129224170945516,0.784210447311341
tête,word,1.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,17.0,0.058823529411764705,0.0,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.0,0.0,0.17647058823529413,0.11764705882352941,0.0,2.7045348998193433,0.7817859110869447
à,word,135.0,4.0,65.0,92.0,30.0,67.0,13.0,2.0,19.0,19.0,0.0,446.0,0.30269058295964124,0.008968609865470852,0.14573991031390135,0.2062780269058296,0.06726457399103139,0.15022421524663676,0.02914798206278027,0.004484304932735426,0.042600896860986545,0.042600896860986545,0.0,2.701901314984041,0.7810246343439347
an,lemma,4.0,0.0,2.0,4.0,9.0,5.0,6.0,0.0,1.0,1.0,0.0,32.0,0.125,0.0,0.0625,0.125,0.28125,0.15625,0.1875,0.0,0.03125,0.03125,0.0,2.6984768596329824,0.7800347447526476
ans,word,4.0,0.0,2.0,4.0,9.0,5.0,6.0,0.0,1.0,1.0,0.0,32.0,0.125,0.0,0.0625,0.125,0.28125,0.15625,0.1875,0.0,0.03125,0.03125,0.0,2.6984768596329824,0.7800347447526476
le,word,159.0,9.0,102.0,94.0,34.0,39.0,20.0,1.0,10.0,42.0,0.0,510.0,0.31176470588235294,0.01764705882352941,0.2,0.1843137254901961,0.06666666666666667,0.07647058823529412,0.0392156862745098,0.00196078431372549,0.0196078431372549,0.08235294117647059,0.0,2.6938905945383644,0.778709016829624
y,lemma,10.0,1.0,14.0,16.0,7.0,8.0,3.0,0.0,0.0,4.0,0.0,63.0,0.15873015873015872,0.015873015873015872,0.2222222222222222,0.25396825396825395,0.1111111111111111,0.12698412698412698,0.047619047619047616,0.0,0.0,0.06349206349206349,0.0,2.6926986248610785,0.7783644603218831
je,lemma,19.0,3.0,3.0,5.0,3.0,6.0,1.0,2.0,2.0,1.0,0.0,45.0,0.4222222222222222,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.13333333333333333,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.0,2.689748635425624,0.7775117221380838
je,word,19.0,3.0,3.0,5.0,3.0,6.0,1.0,2.0,2.0,1.0,0.0,45.0,0.4222222222222222,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.13333333333333333,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.0,2.689748635425624,0.7775117221380838
mon,lemma,11.0,1.0,10.0,12.0,5.0,16.0,1.0,0.0,4.0,1.0,0.0,61.0,0.18032786885245902,0.01639344262295082,0.16393442622950818,0.19672131147540983,0.08196721311475409,0.26229508196721313,0.01639344262295082,0.0,0.06557377049180328,0.01639344262295082,0.0,2.6864386615469096,0.7765549251137165
jamais,lemma,5.0,0.0,3.0,4.0,10.0,13.0,4.0,0.0,1.0,1.0,1.0,42.0,0.11904761904761904,0.0,0.07142857142857142,0.09523809523809523,0.23809523809523808,0.30952380952380953,0.09523809523809523,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,2.685423964176186,0.7762616117944832
