marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
défendre,lemma,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
défendre,word,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
crasseuse,lemma,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
oyé,word,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
repostez,word,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
classe,word,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
story,word,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
story,lemma,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
leur,word,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
crasseux,lemma,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
