marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
l,word,4.0,0.0,7.0,1.0,12.0,0.3333333333333333,0.0,0.5833333333333334,0.08333333333333333,1.2806721295208872,0.6403360647604436
si,lemma,5.0,1.0,26.0,5.0,37.0,0.13513513513513514,0.02702702702702703,0.7027027027027027,0.13513513513513514,1.278893538046733,0.6394467690233665
si,word,5.0,1.0,26.0,5.0,37.0,0.13513513513513514,0.02702702702702703,0.7027027027027027,0.13513513513513514,1.278893538046733,0.6394467690233665
faire,lemma,9.0,2.0,36.0,4.0,51.0,0.17647058823529413,0.0392156862745098,0.7058823529411765,0.0784313725490196,1.2675895563851416,0.6337947781925708
s'en,word,0.0,2.0,10.0,3.0,15.0,0.0,0.13333333333333333,0.6666666666666666,0.2,1.2419460322060458,0.6209730161030229
fou,lemma,0.0,3.0,7.0,1.0,11.0,0.0,0.2727272727272727,0.6363636363636364,0.09090909090909091,1.2406705316766884,0.6203352658383442
non,word,0.0,1.0,8.0,4.0,13.0,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,1.2389012566026305,0.6194506283013153
non,lemma,0.0,1.0,8.0,4.0,13.0,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,1.2389012566026305,0.6194506283013153
tranquille,word,1.0,0.0,6.0,2.0,9.0,0.1111111111111111,0.0,0.6666666666666666,0.2222222222222222,1.224394445405986,0.612197222702993
tranquille,lemma,1.0,0.0,6.0,2.0,9.0,0.1111111111111111,0.0,0.6666666666666666,0.2222222222222222,1.224394445405986,0.612197222702993
et,word,11.0,3.0,72.0,13.0,99.0,0.1111111111111111,0.030303030303030304,0.7272727272727273,0.13131313131313133,1.2238116529396659,0.6119058264698329
et,lemma,11.0,3.0,72.0,13.0,99.0,0.1111111111111111,0.030303030303030304,0.7272727272727273,0.13131313131313133,1.2238116529396659,0.6119058264698329
?,punctuation,6.0,2.0,36.0,5.0,49.0,0.12244897959183673,0.04081632653061224,0.7346938775510204,0.10204081632653061,1.2221238128766982,0.6110619064383491
lui,word,4.0,1.0,9.0,0.0,14.0,0.2857142857142857,0.07142857142857142,0.6428571428571429,0.0,1.1981174211304033,0.5990587105652017
luire,lemma,4.0,1.0,9.0,0.0,14.0,0.2857142857142857,0.07142857142857142,0.6428571428571429,0.0,1.1981174211304033,0.5990587105652017
toi,word,2.0,3.0,34.0,7.0,46.0,0.043478260869565216,0.06521739130434782,0.7391304347826086,0.15217391304347827,1.1892117699900948,0.5946058849950474
croire,lemma,0.0,1.0,8.0,3.0,12.0,0.0,0.08333333333333333,0.6666666666666666,0.25,1.188721875540867,0.5943609377704335
êtes,word,1.0,0.0,8.0,3.0,12.0,0.08333333333333333,0.0,0.6666666666666666,0.25,1.188721875540867,0.5943609377704335
une,word,2.0,1.0,20.0,4.0,27.0,0.07407407407407407,0.037037037037037035,0.7407407407407407,0.14814814814814814,1.1830889133580151,0.5915444566790076
toi,lemma,2.0,3.0,35.0,7.0,47.0,0.0425531914893617,0.06382978723404255,0.7446808510638298,0.14893617021276595,1.1730723080682646,0.5865361540341323
des,word,0.0,4.0,32.0,11.0,47.0,0.0,0.0851063829787234,0.6808510638297872,0.23404255319148937,1.1704665579540146,0.5852332789770073
arrêter,lemma,1.0,0.0,11.0,5.0,17.0,0.058823529411764705,0.0,0.6470588235294118,0.29411764705882354,1.1660870601063933,0.5830435300531966
qu'on,word,1.0,0.0,7.0,2.0,10.0,0.1,0.0,0.7,0.2,1.1567796494470395,0.5783898247235197
laisser,lemma,2.0,0.0,7.0,1.0,10.0,0.2,0.0,0.7,0.1,1.1567796494470395,0.5783898247235197
brice,lemma,4.0,1.0,17.0,1.0,23.0,0.17391304347826086,0.043478260869565216,0.7391304347826086,0.043478260869565216,1.1545676820893709,0.5772838410446854
il,word,2.0,1.0,19.0,3.0,25.0,0.08,0.04,0.76,0.12,1.145235779471061,0.5726178897355305
un,word,5.0,0.0,26.0,5.0,36.0,0.1388888888888889,0.0,0.7222222222222222,0.1388888888888889,1.1301829564272563,0.5650914782136282
.,punctuation,1.0,0.0,16.0,8.0,25.0,0.04,0.0,0.64,0.32,1.1238561897747248,0.5619280948873624
vie,word,3.0,3.0,23.0,1.0,30.0,0.1,0.1,0.7666666666666667,0.03333333333333333,1.1218339291539108,0.5609169645769554
vie,lemma,3.0,3.0,23.0,1.0,30.0,0.1,0.1,0.7666666666666667,0.03333333333333333,1.1218339291539108,0.5609169645769554
ton,lemma,5.0,3.0,56.0,9.0,73.0,0.0684931506849315,0.0410958904109589,0.7671232876712328,0.1232876712328767,1.1198830708689635,0.5599415354344818
à,lemma,3.0,0.0,21.0,5.0,29.0,0.10344827586206896,0.0,0.7241379310344828,0.1724137931034483,1.1130432759912188,0.5565216379956094
à,word,3.0,0.0,19.0,4.0,26.0,0.11538461538461539,0.0,0.7307692307692307,0.15384615384615385,1.1056124005414156,0.5528062002707078
un,lemma,7.0,3.0,74.0,12.0,96.0,0.07291666666666667,0.03125,0.7708333333333334,0.125,1.0961555109111265,0.5480777554555633
dit,word,2.0,1.0,8.0,0.0,11.0,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.0,1.0957952550009336,0.5478976275004668
gros,word,0.0,2.0,27.0,10.0,39.0,0.0,0.05128205128205128,0.6923076923076923,0.2564102564102564,1.0904985391882156,0.5452492695941078
qui,word,0.0,1.0,14.0,5.0,20.0,0.0,0.05,0.7,0.25,1.076297625725199,0.5381488128625995
qui,lemma,0.0,1.0,14.0,5.0,20.0,0.0,0.05,0.7,0.25,1.076297625725199,0.5381488128625995
ici,lemma,0.0,1.0,6.0,1.0,8.0,0.0,0.125,0.75,0.125,1.061278124459133,0.5306390622295665
ici,word,0.0,1.0,6.0,1.0,8.0,0.0,0.125,0.75,0.125,1.061278124459133,0.5306390622295665
gueule,lemma,1.0,1.0,6.0,0.0,8.0,0.125,0.125,0.75,0.0,1.061278124459133,0.5306390622295665
bah,word,1.0,0.0,9.0,2.0,12.0,0.08333333333333333,0.0,0.75,0.16666666666666666,1.0408520829727552,0.5204260414863776
bah,lemma,1.0,0.0,9.0,2.0,12.0,0.08333333333333333,0.0,0.75,0.16666666666666666,1.0408520829727552,0.5204260414863776
ton,word,0.0,1.0,14.0,4.0,19.0,0.0,0.05263157894736842,0.7368421052631579,0.21052631578947367,1.0214554656116666,0.5107277328058333
